Название,Цена,Бренд,Категория,Описание,Картинки,Ссылка на товар
scentric Molecules Molecule 01 + Patchouli 100ml TESTER ,2060.4,,Что,"Возвышенный и обволакивающий древесно-пряный парфюм унисекс Escentric Molecules Molecule 01 + Patchouli, выпущенный нишевой маркой Escentric Molecules весной 2021 года, стал частью очередной новой фирменной линейки M+ Collection. Серия была представлена ещё двумя композициями - Molecule 01 + Mandarin и Molecule 01 + Iris, все ароматы вышли одновременно. Владелец бренда, парфюмер и создатель новинок Геза Шон, придерживался в разработке идеи минимализма и сосредоточенности на полном раскрытие запаха главного компонента каждой композиции. Очень короткие формулы всех ароматов соединяют в себе общую синтетическую основу из молекул Iso E Super (70% состава) и немного Hedione с самым лучшим высококачественным натуральным сырьём для каждого парфюма соответственно: абсолют ириса, органические масла мандарина и пачули. Все три аромата получились стойкими, шлейфовыми, многогранными, в меру насыщенными и, в то же время, деликатными и изысканными. Каждый имеет свой характер: мандарин звучит ярко и радостно, ирис имеет тёмный и таинственный запах, пачули отражают благородство и спокойствие.В Molecule 01 + Patchouli были использованы 2 вида масла — Patchouli Coeur от компании IFF, как основной компонент с очень чистой и мягкой фракцией масла с тонкой камфарной нотой, и немного индонезийского масла, чтобы придать аромату завершённость и объём. Основной древесно-пачулиевый аккорд парфюма Escentric Molecules Molecule 01 + Patchouli дополнен умеренными земляными, мускусными нотами и запахом тёплых специй, а также более лёгкими бальзамическими и амбровыми оттенками.",,http://parfume-opt.ru/products/molecule_01s_patchouli_100ml_tester_luxe
scentric Molecules Molecule 01 + Mandarin 100 ml TESTER ,2060.4,,Что,"Динамичный и освежающий цитрусовый парфюм унисекс Escentric Molecules Molecule 01 + Mandarin, выпущенный нишевой маркой Escentric Molecules весной 2021 года, стал частью очередной новой фирменной линейки M+ Collection. Серия была представлена ещё двумя композициями — Molecule 01 + Iris и Molecule 01 + Patchouli, все ароматы вышли одновременно. Владелец бренда, парфюмер и создатель новинок, Геза Шон, придерживался в разработке идеи минимализма и сосредоточенности на полном раскрытии запаха главного компонента каждой композиции. Очень короткие формулы всех ароматов соединяют в себе общую синтетическую основу из молекул Iso E Super (70% состава) и немного Hedione с самым лучшим высококачественным натуральным сырьём для каждого парфюма соответственно: абсолют ириса, органические масла мандарина и пачули. Все три аромата получились стойкими, шлейфовыми, многогранными, в меру насыщенными и, в то же время, деликатными и изысканными. Каждый имеет свой характер: мандарин звучит ярко и радостно, ирис имеет тёмный и таинственный запах, пачули отражают благородство и спокойствие.В Molecule 01 + Mandarin добавлено органическое масло мандарина, оно делает композицию энергичной и живой. В аромате первоначальная яркость, бодрость и сладость цитрусов постепенно сменяется спокойствием, ощущением теплоты и комфорта. Главный цитрусовый аккорд парфюма Escentric Molecules Molecule 01 + Mandarin дополняют древесные ноты, а также более умеренные",,http://parfume-opt.ru/products/molecule_01s_mandarin_100_ml_tester_luxe
ATKINSONS Her Majesty The Oud TESTER,2716.7999999999997,ATKINSONS,Что,"В 2016 году великобританской маркой Atkinsons представлены миру два ярких, помпезных, роскошных аромата, принадлежащих парфюмерной коллекции The Oud - Her Majesty The Oud и His Majesty The Oud, основанные на благотворном, таинственном благоухании дерева Уд.Her Majesty The Oud – аромат для женщин. Он таит в себе неописуемую королевскую роскошь, воспевая оду божественной красоте викторианской королевы пустыни Гертруде Белл. Парфюм из группы ароматов восточные цветочные, презентован в эффектном, мерцающем золотом флаконе, демонстрирующим его безумную роскошь.Начальные аккорды умиляют превосходной усладой экзотичных фруктов воссоединяя их с невероятной красоты, сладким жасминовым благоуханием османтуса. Сердечная часть композиции удивляет искренней женственностью цветочных нот турецкой розы и ириса, с теплыми, знойными, восточными оттенками горьковато-пряного шафрана. Парфюм обладает изящным, полупрозрачным, соблазнительным шлейфом из чарующих, древесно-бальзамических аккордов дерева Уд, влекущих акцентов кожи и блаженного запаха сладко-пряной ванили, расслабляя и обнажая тайные желания.",,http://parfume-opt.ru/products/her_majesty_the_oud_tester_luxe
ATKINSONS His Majesty The Oud TESTER ,2716.7999999999997,ATKINSONS,Что,"Atkinsons His Majesty The Oud – страстный, харизматичный, искушающий аромат, излучающий обаяние, для уверенных в своей неотразимости, ярких, красивых, статных мужчин. Парфюм является превосходной новинкой и бесценным дополнением коллекции ароматов, знаменитой британской нишевой парфюмерной марки Atkinsons. Он выпущен в 2016 году как древесно-восточный аромат, обладает особенностью, чувственностью и длительностью звучания. Вдыхая первые ноты этого непревзойденного запаха, слышны мелодичные мотивы чая Лапсанг Сушонг и пряные, с оттенками бархатистых, теплых нюансов гвоздики. Сердце аромата чувственное, страстное и мужественное, сочетающее сильные, глубокие, насыщенные акценты кожи и теплые, уютные мотивы, с древесно-смолистыми, чуточку камфорными оттенками, сандала и кедра. Длинный ароматический шлейф парфюма создан из плотных, древесно-мускусных нот уда, сладко-бальзамических акцентов стиракса, окутанных сладостью пряной ванили.",,http://parfume-opt.ru/products/his_majesty_the_oud_tester_luxe
ATKINSONS Tulipe Noire TESTER ,2716.7999999999997,ATKINSONS,Что,"Tulipe Noire — туалетная вода с цветочно-восточным унисекс-ароматом, созданная в 2019 году английским брендом нишевой парфюмерии Atkinsons. Элегантный, изысканный парфюм —  новая интерпретация одноименного аромата 1929 года выпуска, который посвящен знаменитому историческому роману «Черный тюльпан» Александра Дюма.Аромат открывается свежими, чистыми цитрусовыми аккордами бергамота и теплыми специевыми акцентами кориандра, наполняясь в центральных нотах композиции волшебным запахом пышного чарующего цветочного букета туберозы и жасмина. Богатый, насыщенный шлейф аромата Atkinsons Tulipe Noire мягко звучит элегантными древесными оттенками сливочно-хвойного кедра и пряного сандала, чувственными нотками  мускуса и мускусно-амброво-древесным акцентом амброксана.",,http://parfume-opt.ru/products/tulipe_noire_tester_luxe
ATKINSONS Oud Save The Queen TESTER,2716.7999999999997,ATKINSONS,Что,"Oud Save The Queen – восточный цветочный аромат для женщин, который в 2013 году представил модный дом Atkinsons. Над его созданием трудился парфюмер Франсис Деламон.Новинка вышла в паре с мужским ароматом Oud Save The King в честь двухвекового юбилея бренда. Эти королевские ароматы пополнили серию Oud Collection, посвященную таинственному Востоку.В верхних нотах Oud Save The Queen от Atkinsons угадываются бергамот, чай Эрл Грей и пряная гвоздика. В сердце переплетаются аккорды флердоранжа и жасминовых лепестков. База из нот гваякового дерева, уда и бобов тонка завершает композицию.",,http://parfume-opt.ru/products/oud_save_the_queen_tester_luxe
Parfums De Marly Percival TESTER ,2580.0,Parfums De Marly,Что,"Percival — парфюмерная вода с цитрусово-фужерным ароматом для женщин и мужчин, созданная в 2018 году парфюмером Hamid Merati-Kashani для нишевого парфюмерного бренда Parfums De Marly из Франции. Мощный свежий энергичный аромат Percival вдохновлен образом одного из рыцарей Круглого стола короля Артура.Богатый насыщенный аромат открывается яркими сладковато-мятными цветочными оттенками герани, нежной душистой лаванды, свежими искристыми цитрусовыми аккордами бергамота и мандарина, которые сплетаются в средних нотах композиции с изысканными цветочными оттенками жасмина и фиалки, пряными специевыми акцентами кориандра, корицы и ярким древесно-цветочным запахом гедиона. Завораживающий сильный шлейф парфюма Parfums De Marly Percival соткан из ароматических нюансов древесного янтаря, клирвуда, молекулы амброксана, пихтового бальзама и мускуса.",,http://parfume-opt.ru/products/percival_tester_luxe
Parfums De Marly Herod TESTER ,2580.0,Parfums De Marly,Что,"Parfums de Marly Herod («Парфюмс де Марли. Герод») – неповторимый парфюм для мужчин, ценящих качество и индивидуальность. Принадлежит аромат к семейству древесных, пряных. Парфюм вышел в свет в 2012 году. Эта композиция пропитана духом восемнадцатого века. Это время заслуженных побед и истинного мужества. Элегантность, изысканность, шик и умение ценить дорогие аксессуары присущи обладателю данного парфюма.Также для мужчин, выбирающих самые лучшие ароматы, мы можем предложить парфюм Porsche Design The Essence Intense.Композиция аромата Parfums de Marly Herod открывает свое звучание верхними нотами перца и корицы. В сердце слышны аккорды лабданума, ладана, листьев табака и османтуса. Завершается композиция базовыми нотами ветивера, белого кедра, ванили, мускуса, пачули и бобов тонка.",,http://parfume-opt.ru/products/herod_tester_luxe
BYREDO Casablanca Lily 100ml TESTER ,2184.0,BYREDO,Что,"Casablanca Lily – тонкий, волнующий и немного таинственный цветочно-фруктовый унисекс парфюм с мягкими медовыми оттенками. Аромат выпущен шведским домом ароматов Byredo и является частью коллекции «Покрывала ночи», вдохновленной удивительным ароматом цветущих ночью цветов, словно окутывающих вас волшебным ароматическим покрывалом.  Душистый и  чувственный аромат,  созданный для людей, чья творческая энергия максимально проявляется в ночное время, дарит тонкий запах ночной лилии. Верхний аккорд ароматической композиции сочетает в себе мягкий фруктовый запах сочной, почти медовой черной сливы с гипнотической силой пряного аромата гардении. Ночное соблазнение в сердце парфюма продолжает завораживающий медово-пряный запах туберозы, звучащей в одном аккорде с ароматом цветущей гвоздики. А завершает ночной аромат сливочная база из пряно-древесных нот драгоценного палисандра и теплой сладости янтарного меда.",,http://parfume-opt.ru/products/casablanca_lily_100ml_tester_luxe
Nasomatto NUDIFLORUM 30ml TESTER ,2040.0,Nasomatto,Что,"Nudiflorum – нишевые духи с цветочным древесно-мускусным ароматом для женщин и мужчин, созданные в 2018 году парфюмером Alessandro Gualtieri для парфюмерного бренда Nasomatto из Нидерландов. Пьянящий, чувственный парфюм  Nudiflorum (Обнаженный цветок) – аромат любви и нежности, невероятная романтическая мелодия,  облаченная в ароматическую утонченную оболочку, пронизанную страстью, желанием и дарящую удивительные эмоциональные ощущения;  легчайшее прикосновение к чему- то прекрасному и непознанному.Уникальная композиция парфюма держится в секрете, но главным ингредиентом аромата является невероятно притягательный изысканный запах белых цветов жасмина в окружении благородных  древесных и чувственных нежных мускусных оттенков.Аромат Nasomatto Nudiflorum заключен в элегантный дизайнерский флакон, украшенный крышечкой из натурального дерева.",,http://parfume-opt.ru/products/nudiflorum_30ml_tester_luxe
